rank,name,skillId,source,installCount,detailPath,detailUrl
1945,elestio,elestio,/elestio/elestio-skill,4582,elestio/elestio-skill/elestio,https://skills.sh/elestio/elestio-skill/elestio
1946,flutter-dart-code-review,flutter-dart-code-review,/affaan-m/everything-claude-code,4575,affaan-m/everything-claude-code/flutter-dart-code-review,https://skills.sh/affaan-m/everything-claude-code/flutter-dart-code-review
1947,nanoclaw-repl,nanoclaw-repl,/affaan-m/everything-claude-code,4559,affaan-m/everything-claude-code/nanoclaw-repl,https://skills.sh/affaan-m/everything-claude-code/nanoclaw-repl
1948,ocr-document-processor,ocr-document-processor,/dkyazzentwatwa/chatgpt-skills,4555,dkyazzentwatwa/chatgpt-skills/ocr-document-processor,https://skills.sh/dkyazzentwatwa/chatgpt-skills/ocr-document-processor
1949,refactoring-ui,refactoring-ui,/wondelai/skills,4554,wondelai/skills/refactoring-ui,https://skills.sh/wondelai/skills/refactoring-ui
1950,inventory-demand-planning,inventory-demand-planning,/affaan-m/everything-claude-code,4550,affaan-m/everything-claude-code/inventory-demand-planning,https://skills.sh/affaan-m/everything-claude-code/inventory-demand-planning
1951,kotlin-ktor-patterns,kotlin-ktor-patterns,/affaan-m/everything-claude-code,4547,affaan-m/everything-claude-code/kotlin-ktor-patterns,https://skills.sh/affaan-m/everything-claude-code/kotlin-ktor-patterns
1952,project-builder,project-builder,/starchild-ai-agent/official-skills,4546,starchild-ai-agent/official-skills/project-builder,https://skills.sh/starchild-ai-agent/official-skills/project-builder
1953,smart-explore,smart-explore,/thedotmack/claude-mem,4540,thedotmack/claude-mem/smart-explore,https://skills.sh/thedotmack/claude-mem/smart-explore
1954,magicpath,magicpath,/magicpathai/agent-skills,4519,magicpathai/agent-skills/magicpath,https://skills.sh/magicpathai/agent-skills/magicpath
1955,sql-pro,sql-pro,/jeffallan/claude-skills,4518,jeffallan/claude-skills/sql-pro,https://skills.sh/jeffallan/claude-skills/sql-pro
1956,quality-nonconformance,quality-nonconformance,/affaan-m/everything-claude-code,4515,affaan-m/everything-claude-code/quality-nonconformance,https://skills.sh/affaan-m/everything-claude-code/quality-nonconformance
1957,context-budget,context-budget,/affaan-m/everything-claude-code,4509,affaan-m/everything-claude-code/context-budget,https://skills.sh/affaan-m/everything-claude-code/context-budget
1958,clawdirect-dev,clawdirect-dev,/napoleond/clawdirect,4507,napoleond/clawdirect/clawdirect-dev,https://skills.sh/napoleond/clawdirect/clawdirect-dev
1959,instaclaw,instaclaw,/napoleond/instaclaw,4506,napoleond/instaclaw/instaclaw,https://skills.sh/napoleond/instaclaw/instaclaw
1960,production-scheduling,production-scheduling,/affaan-m/everything-claude-code,4504,affaan-m/everything-claude-code/production-scheduling,https://skills.sh/affaan-m/everything-claude-code/production-scheduling
1961,chinese-novelist,chinese-novelist,/penglonghuang/chinese-novelist-skill,4503,penglonghuang/chinese-novelist-skill/chinese-novelist,https://skills.sh/penglonghuang/chinese-novelist-skill/chinese-novelist
1962,mcp-server-patterns,mcp-server-patterns,/affaan-m/everything-claude-code,4502,affaan-m/everything-claude-code/mcp-server-patterns,https://skills.sh/affaan-m/everything-claude-code/mcp-server-patterns
1963,energy-procurement,energy-procurement,/affaan-m/everything-claude-code,4498,affaan-m/everything-claude-code/energy-procurement,https://skills.sh/affaan-m/everything-claude-code/energy-procurement
1964,make-plan,make-plan,/thedotmack/claude-mem,4493,thedotmack/claude-mem/make-plan,https://skills.sh/thedotmack/claude-mem/make-plan
1965,transitions-dev,transitions-dev,/jakubantalik/transitions.dev,4488,jakubantalik/transitions.dev/transitions-dev,https://skills.sh/jakubantalik/transitions.dev/transitions-dev
1966,carrier-relationship-management,carrier-relationship-management,/affaan-m/everything-claude-code,4481,affaan-m/everything-claude-code/carrier-relationship-management,https://skills.sh/affaan-m/everything-claude-code/carrier-relationship-management
1967,azure-pricing,azure-pricing,/github/awesome-copilot,4477,github/awesome-copilot/azure-pricing,https://skills.sh/github/awesome-copilot/azure-pricing
1968,code-reviewer,code-reviewer,/shubhamsaboo/awesome-llm-apps,4474,shubhamsaboo/awesome-llm-apps/code-reviewer,https://skills.sh/shubhamsaboo/awesome-llm-apps/code-reviewer
1969,fal-ai-media,fal-ai-media,/affaan-m/everything-claude-code,4472,affaan-m/everything-claude-code/fal-ai-media,https://skills.sh/affaan-m/everything-claude-code/fal-ai-media
1970,crosspost,crosspost,/affaan-m/everything-claude-code,4466,affaan-m/everything-claude-code/crosspost,https://skills.sh/affaan-m/everything-claude-code/crosspost
1971,videodb,videodb,/affaan-m/everything-claude-code,4463,affaan-m/everything-claude-code/videodb,https://skills.sh/affaan-m/everything-claude-code/videodb
1972,file-organizer,file-organizer,/composiohq/awesome-claude-skills,4457,composiohq/awesome-claude-skills/file-organizer,https://skills.sh/composiohq/awesome-claude-skills/file-organizer
