rank,rankType,officialRank,officialMarketShare,estimatedScore,title,source,libraryId,popularityRank,snippets,tokens,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,docsRepoUrl,docsSiteUrl,score_popularity,score_snippets,score_tokens,score_trust,score_verified,score_recency
16,official,16,1.3400636356348499,,/websites/platform_openai,/websites/platform_openai,/websites/platform_openai,,,,,,,,,,,,,,,,,
17,official,17,1.279645719245771,,/websites/vercel,/websites/vercel,/websites/vercel,,,,,,,,,,,,,,,,,
18,official,18,1.1741576295034928,,/tanstack/query,/tanstack/query,/tanstack/query,,,,,,,,,,,,,,,,,
19,official,19,1.130126856615259,,/websites/ai-sdk_dev,/websites/ai-sdk_dev,/websites/ai-sdk_dev,,,,,,,,,,,,,,,,,
20,official,20,1.0856648431085814,,/payloadcms/payload,/payloadcms/payload,/payloadcms/payload,,,,,,,,,,,,,,,,,
21,official,21,1.0494516886111012,,/jlowin/fastmcp,/jlowin/fastmcp,/jlowin/fastmcp,,,,,,,,,,,,,,,,,
22,official,22,1.0426402983300485,,/websites/developer_apple_swiftui,/websites/developer_apple_swiftui,/websites/developer_apple_swiftui,,,,,,,,,,,,,,,,,
23,official,23,1.0358841953077704,,/fastapi/fastapi,/fastapi/fastapi,/fastapi/fastapi,,,,,,,,,,,,,,,,,
24,official,24,1.0283540706626455,,/websites/ai_google_dev_gemini-api,/websites/ai_google_dev_gemini-api,/websites/ai_google_dev_gemini-api,,,,,,,,,,,,,,,,,
25,official,25,0.9733543056334953,,/drizzle-team/drizzle-orm-docs,/drizzle-team/drizzle-orm-docs,/drizzle-team/drizzle-orm-docs,,,,,,,,,,,,,,,,,
26,official,26,0.9575863794309282,,/expo/expo,/expo/expo,/expo/expo,,,,,,,,,,,,,,,,,
27,official,27,0.9496471290708699,,/tiangolo/fastapi,/tiangolo/fastapi,/tiangolo/fastapi,,,,,,,,,,,,,,,,,
28,official,28,0.9473471791058391,,/supabase/supabase-js,/supabase/supabase-js,/supabase/supabase-js,,,,,,,,,,,,,,,,,
29,official,29,0.9447376204916695,,/pydantic/pydantic-ai,/pydantic/pydantic-ai,/pydantic/pydantic-ai,,,,,,,,,,,,,,,,,
30,official,30,0.9255418842450662,,/microsoft/playwright,/microsoft/playwright,/microsoft/playwright,,,,,,,,,,,,,,,,,
31,official,31,0.8983073805726102,,/modelcontextprotocol/typescript-sdk,/modelcontextprotocol/typescript-sdk,/modelcontextprotocol/typescript-sdk,,,,,,,,,,,,,,,,,
32,official,32,0.8896272809449699,,/googleapis/python-genai,/googleapis/python-genai,/googleapis/python-genai,,,,,,,,,,,,,,,,,
33,official,33,0.8578813369564916,,/openai/openai-python,/openai/openai-python,/openai/openai-python,,,,,,,,,,,,,,,,,
34,official,34,0.8410187230301841,,/vitejs/vite,/vitejs/vite,/vitejs/vite,,,,,,,,,,,,,,,,,
35,official,35,0.8243883155907304,,/modelcontextprotocol/python-sdk,/modelcontextprotocol/python-sdk,/modelcontextprotocol/python-sdk,,,,,,,,,,,,,,,,,
36,official,36,0.8177317296342471,,/openclaw/openclaw,/openclaw/openclaw,/openclaw/openclaw,,,,,,,,,,,,,,,,,
37,official,37,0.8142044025244162,,/vitest-dev/vitest,/vitest-dev/vitest,/vitest-dev/vitest,,,,,,,,,,,,,,,,,
